badger 2025/11/15 03:21:51 INFO: All 0 tables opened in 0s
badger 2025/11/15 03:21:51 INFO: Discard stats nextEmptySlot: 0
badger 2025/11/15 03:21:51 INFO: Set nextTxnTs to 0
2025/11/15 03:21:51 Serving gRPC: :1990
2025/11/15 03:22:33 Abort transaction 1
2025/11/15 03:22:34 Abort transaction 1
2025/11/15 03:22:34 Abort transaction 1
2025/11/15 03:22:34 Abort transaction 1
2025/11/15 03:22:34 Abort transaction 1
2025/11/15 03:22:36 Abort transaction 1
2025/11/15 03:22:36 Abort transaction 1
2025/11/15 03:22:36 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:37 Abort transaction 1
2025/11/15 03:22:44 Abort transaction 1
2025/11/15 03:22:48 Abort transaction 1
2025/11/15 03:22:48 Abort transaction 1
2025/11/15 03:22:48 Abort transaction 1
